Order_ID,Order_Date,Ship_Date,Customer_ID,Segment,Region,State,City,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit,Year,Month,Month_Name,Profit_Margin_%
ORD-00214,2023-10-13,2023-10-16,CUST-0380,Corporate,East,West Bengal,Kolkata,Groceries,Beverages,Orbit Beverages Ultra,3099.97,8,0.0,772.67,2023,10,Oct 2023,24.93
ORD-00829,2023-12-05,2023-12-10,CUST-0302,Corporate,North,Punjab,Ludhiana,Electronics,Headphones,Orbit Headphones Premium,155263.27,3,0.15,-5685.68,2023,12,Dec 2023,-3.66
ORD-00050,2023-06-23,2023-06-26,CUST-0034,Consumer,West,Maharashtra,Pune,Furniture,Bed Frames,Crest Bed Frames Classic,20333.25,1,0.05,3225.96,2023,6,Jun 2023,15.87
ORD-01333,2024-12-23,2024-12-28,CUST-0051,Corporate,South,Tamil Nadu,Chennai,Clothing,Footwear,Apex Footwear Smart,1863.3,5,0.1,529.72,2024,12,Dec 2024,28.43
ORD-00358,2024-02-23,2024-02-26,CUST-0292,Home Office,South,Kerala,Kochi,Clothing,Women's Wear,Aura Women's Wear Premium,11338.33,3,0.15,2541.12,2024,2,Feb 2024,22.41
ORD-00972,2024-06-28,2024-06-30,CUST-0321,Consumer,South,Kerala,Kochi,Furniture,Sofas,Nimbus Sofas Eco,32696.93,1,0.05,3678.73,2024,6,Jun 2024,11.25
ORD-00148,2024-12-14,2024-12-15,CUST-0232,Home Office,West,Maharashtra,Mumbai,Office Supplies,Stationery,Nova Stationery Max,17644.72,5,0.0,4086.4,2024,12,Dec 2024,23.16
ORD-00277,2023-06-13,2023-06-17,CUST-0320,Consumer,West,Rajasthan,Jaipur,Office Supplies,Stationery,Zenith Stationery Max,24787.66,6,0.05,4899.62,2023,6,Jun 2023,19.77
ORD-00170,2024-12-20,2024-12-24,CUST-0061,Consumer,South,Karnataka,Bengaluru,Electronics,Tablets,Vertex Tablets Basic,12505.91,2,0.1,229.16,2024,12,Dec 2024,1.83
ORD-01908,2024-02-03,2024-02-08,CUST-0185,Consumer,West,Maharashtra,Pune,Electronics,Mobile Phones,Zenith Mobile Phones Eco,60726.66,3,0.0,4615.73,2024,2,Feb 2024,7.6
ORD-01440,2024-09-10,2024-09-13,CUST-0389,Consumer,East,Bihar,Patna,Office Supplies,Paper Products,Nimbus Paper Products Plus,28281.24,4,0.05,6372.88,2024,9,Sep 2024,22.53
ORD-01902,2023-03-06,2023-03-11,CUST-0186,Consumer,South,Karnataka,Bengaluru,Groceries,Beverages,Nova Beverages Ultra,1805.81,2,0.0,346.37,2023,3,Mar 2023,19.18
ORD-00012,2023-09-05,2023-09-07,CUST-0385,Consumer,West,Maharashtra,Mumbai,Furniture,Office Chairs,Nova Office Chairs Max,37674.14,2,0.0,6978.66,2023,9,Sep 2023,18.52
ORD-01984,2023-06-21,2023-06-24,CUST-0243,Corporate,South,Telangana,Hyderabad,Electronics,Mobile Phones,Atlas Mobile Phones Lite,24978.74,1,0.05,1823.88,2023,6,Jun 2023,7.3
ORD-00966,2024-04-27,2024-04-28,CUST-0219,Consumer,North,Punjab,Ludhiana,Furniture,Bookcases,Vertex Bookcases Lite,33411.15,1,0.0,5087.58,2024,4,Apr 2024,15.23
ORD-00906,2023-11-29,2023-12-04,CUST-0177,Consumer,North,Haryana,Gurugram,Clothing,Women's Wear,Vertex Women's Wear Basic,1319.77,1,0.05,433.98,2023,11,Nov 2023,32.88
ORD-00861,2024-07-11,2024-07-17,CUST-0226,Consumer,West,Maharashtra,Mumbai,Electronics,Tablets,Pulse Tablets Classic,143866.0,3,0.2,-5332.99,2024,7,Jul 2024,-3.71
ORD-00077,2024-10-02,2024-10-03,CUST-0235,Consumer,West,Rajasthan,Jaipur,Groceries,Staples,Nova Staples Max,594.58,9,0.1,47.3,2024,10,Oct 2024,7.96
